Effective Date,Rate (%)
12/31/2019,1.55
12/30/2019,1.55
12/27/2019,1.55
12/26/2019,1.55
12/24/2019,1.55
12/23/2019,1.55
12/20/2019,1.55
12/19/2019,1.55
12/18/2019,1.55
12/17/2019,1.55
12/16/2019,1.56
12/13/2019,1.55
12/12/2019,1.55
12/11/2019,1.55
12/10/2019,1.55
12/09/2019,1.55
12/06/2019,1.55
12/05/2019,1.55
12/04/2019,1.55
12/03/2019,1.55
12/02/2019,1.56
11/29/2019,1.56
11/27/2019,1.55
11/26/2019,1.55
11/25/2019,1.55
11/22/2019,1.55
11/21/2019,1.55
11/20/2019,1.55
11/19/2019,1.55
11/18/2019,1.55
11/15/2019,1.55
11/14/2019,1.55
11/13/2019,1.55
11/12/2019,1.55
11/08/2019,1.55
11/07/2019,1.55
11/06/2019,1.55
11/05/2019,1.56
11/04/2019,1.56
11/01/2019,1.57
10/31/2019,1.58
10/30/2019,1.82
10/29/2019,1.82
10/28/2019,1.83
10/25/2019,1.83
10/24/2019,1.85
10/23/2019,1.85
10/22/2019,1.85
10/21/2019,1.85
10/18/2019,1.85
10/17/2019,1.85
10/16/2019,1.9
10/15/2019,1.9
10/11/2019,1.82
10/10/2019,1.82
10/09/2019,1.82
10/08/2019,1.82
10/07/2019,1.82
10/04/2019,1.82
10/03/2019,1.83
10/02/2019,1.85
10/01/2019,1.88
09/30/2019,1.9
09/27/2019,1.83
09/26/2019,1.85
09/25/2019,1.9
09/24/2019,1.9
09/23/2019,1.9
09/20/2019,1.9
09/19/2019,1.9
09/18/2019,2.25
09/17/2019,2.3
09/16/2019,2.25
09/13/2019,2.14
09/12/2019,2.13
09/11/2019,2.13
09/10/2019,2.13
09/09/2019,2.13
09/06/2019,2.12
09/05/2019,2.13
09/04/2019,2.13
09/03/2019,2.13
08/30/2019,2.13
08/29/2019,2.12
08/28/2019,2.12
08/27/2019,2.12
08/26/2019,2.12
08/23/2019,2.12
08/22/2019,2.12
08/21/2019,2.12
08/20/2019,2.13
08/19/2019,2.13
08/16/2019,2.13
08/15/2019,2.13
08/14/2019,2.12
08/13/2019,2.12
08/12/2019,2.12
08/09/2019,2.12
08/08/2019,2.12
08/07/2019,2.12
08/06/2019,2.13
08/05/2019,2.13
08/02/2019,2.14
08/01/2019,2.14
07/31/2019,2.4
07/30/2019,2.39
07/29/2019,2.4
07/26/2019,2.4
07/25/2019,2.4
07/24/2019,2.4
07/23/2019,2.4
07/22/2019,2.4
07/19/2019,2.41
07/18/2019,2.41
07/17/2019,2.41
07/16/2019,2.41
07/15/2019,2.4
07/12/2019,2.38
07/11/2019,2.4
07/10/2019,2.41
07/09/2019,2.41
07/08/2019,2.41
07/05/2019,2.42
07/03/2019,2.41
07/02/2019,2.4
07/01/2019,2.39
06/28/2019,2.4
06/27/2019,2.38
06/26/2019,2.38
06/25/2019,2.38
06/24/2019,2.38
06/21/2019,2.38
06/20/2019,2.37
06/19/2019,2.37
06/18/2019,2.37
06/17/2019,2.38
06/14/2019,2.36
06/13/2019,2.37
06/12/2019,2.37
06/11/2019,2.37
06/10/2019,2.37
06/07/2019,2.37
06/06/2019,2.37
06/05/2019,2.38
06/04/2019,2.38
06/03/2019,2.38
05/31/2019,2.4
05/30/2019,2.39
05/29/2019,2.39
05/28/2019,2.39
05/24/2019,2.38
05/23/2019,2.38
05/22/2019,2.38
05/21/2019,2.39
05/20/2019,2.39
05/17/2019,2.39
05/16/2019,2.39
05/15/2019,2.4
05/14/2019,2.38
